,vorname,anzahl,jahr
785,Alfons,2,2013
786,Alfons,2,2014
787,Alfons,2,2015
788,Alfons,5,2016
789,Alfons,4,2018
790,Alfons,2,2020
791,Alfonso,2,2012
792,Alfonso,2,2014
793,Alfred,29,2012
794,Alfred,18,2013
795,Alfred,23,2014
796,Alfred,27,2015
797,Alfred,27,2016
798,Alfred,28,2017
799,Alfred,23,2018
800,Alfred,26,2019
801,Alfred,38,2020
802,Alfred,21,2021
803,Alfred,19,2022
804,Alfreda,3,2016
805,Ali,144,2012
806,Ali,141,2013
807,Ali,163,2014
808,Ali,191,2015
809,Ali,206,2016
810,Ali,221,2017
811,Ali,215,2018
812,Ali,183,2019
813,Ali,195,2020
814,Ali,201,2021
815,Ali,151,2022
816,Alia,3,2012
817,Alia,2,2013
818,Alia,8,2014
819,Alia,5,2015
820,Alia,2,2016
821,Alia,3,2018
822,Alia,4,2019
823,Alia,4,2021
824,Alia,7,2022
825,Alica,2,2013
826,Alica,2,2019
827,Alica,4,2022
828,Alican,2,2014
829,Alican,2,2015
830,Alican,3,2022
831,Alice,31,2012
832,Alice,36,2013
833,Alice,25,2014
834,Alice,45,2015
835,Alice,38,2016
836,Alice,31,2017
837,Alice,46,2018
838,Alice,41,2019
839,Alice,33,2020
840,Alice,28,2021
841,Alice,22,2022
842,Alicia,35,2012
843,Alicia,18,2013
844,Alicia,27,2014
845,Alicia,18,2015
846,Alicia,30,2016
847,Alicia,19,2017
848,Alicia,30,2018
849,Alicia,27,2019
850,Alicia,22,2020
851,Alicia,24,2021
852,Alicia,24,2022
853,Alicja,2,2012
854,Alicja,8,2013
855,Alicja,4,2014
856,Alicja,5,2015
857,Alicja,5,2016
858,Alicja,4,2017
859,Alicja,5,2018
860,Alicja,10,2021
861,Alicja,6,2022
862,Aliev,2,2012
863,Aliev,2,2016
864,Alieva,2,2020
865,Alieva,2,2022
866,Alievič,2,2022
867,Alija,2,2016
868,Alija,2,2019
869,Alijandro,2,2015
870,Alim,2,2012
871,Alim,4,2016
872,Alim,2,2017
873,Alim,2,2019
874,Alim,2,2020
875,Alim,2,2021
876,Alima,2,2019
877,Alin,2,2014
878,Alin,4,2015
879,Alin,5,2016
880,Alin,2,2017
881,Alin,3,2019
882,Alin,2,2020
883,Alin,8,2021
884,Alin,2,2022
885,Alina,75,2012
886,Alina,94,2013
887,Alina,85,2014
888,Alina,68,2015
889,Alina,72,2016
890,Alina,71,2017
891,Alina,72,2018
892,Alina,55,2019
893,Alina,88,2020
894,Alina,74,2021
895,Alina,56,2022
896,Aline,2,2012
897,Aline,2,2015
898,Aline,3,2016
899,Aline,4,2021
900,Alisa,8,2012
901,Alisa,12,2013
902,Alisa,14,2014
903,Alisa,12,2015
904,Alisa,28,2016
905,Alisa,18,2017
906,Alisa,16,2018
907,Alisa,11,2019
908,Alisa,11,2020
